MEMID,CMTTEID,CHAMBER,CMTTEETYPE,NAME,PARTY,STATE,DIST,year
S2ME00109,C00516047,S,P,"KING, ANGUS STANLEY JR",IND,ME,0,2018
S2ME00109,C00631960,S,J,"KING, ANGUS STANLEY JR",IND,ME,0,2018
S2ND00099,C00638296,S,J,"HEITKAMP, HEIDI",DEM,ND,0,2018
S2ND00099,C00655662,S,J,"HEITKAMP, HEIDI",DEM,ND,0,2018
S2ND00099,C00667501,S,J,"HEITKAMP, HEIDI",DEM,ND,0,2018
S2ND00099,C00636811,S,J,"HEITKAMP, HEIDI",DEM,ND,0,2018
S2ND00099,C00653469,S,J,"HEITKAMP, HEIDI",DEM,ND,0,2018
S2ND00099,C00673293,S,J,"HEITKAMP, HEIDI",DEM,ND,0,2018
S2ND00099,C00505552,S,P,"HEITKAMP, HEIDI",DEM,ND,0,2018
S2ND00099,C00677450,S,J,"HEITKAMP, HEIDI",DEM,ND,0,2018
S2ND00099,C00685057,N,J,"HEITKAMP, HEIDI",DEM,ND,0,2018
S2ND00099,C00662916,S,J,"HEITKAMP, HEIDI",DEM,ND,0,2018
S2ND00099,C00633578,S,J,"HEITKAMP, HEIDI",DEM,ND,0,2018
S2NE00094,C00572107,N,J,"FISCHER, DEBRA S",REP,NE,0,2018
S2NE00094,C00498907,S,P,"FISCHER, DEBRA S",REP,NE,0,2018
S2NE00094,C00637181,S,J,"FISCHER, DEBRA S",REP,NE,0,2018
S2NE00094,C00671925,S,J,"FISCHER, DEBRA S",REP,NE,0,2018
S2NE00094,C00670109,S,J,"FISCHER, DEBRA S",REP,NE,0,2018
S2NE00094,C00652081,N,J,"FISCHER, DEBRA S",REP,NE,0,2018
S2NM00088,C00668814,S,J,"HEINRICH, MARTIN TREVOR",DEM,NM,0,2018
S2NM00088,C00673061,S,J,"HEINRICH, MARTIN TREVOR",DEM,NM,0,2018
S2NM00088,C00631960,S,J,"HEINRICH, MARTIN TREVOR",DEM,NM,0,2018
S2NM00088,C00634360,S,J,"HEINRICH, MARTIN TREVOR",DEM,NM,0,2018
S2NM00088,C00635979,Y,J,"HEINRICH, MARTIN TREVOR",DEM,NM,0,2018
S2NM00088,C00633065,S,J,"HEINRICH, MARTIN TREVOR",DEM,NM,0,2018
S2NM00088,C00434563,S,P,"HEINRICH, MARTIN TREVOR",DEM,NM,0,2018
S2NM00088,C00603019,N,J,"HEINRICH, MARTIN TREVOR",DEM,NM,0,2018
S2NV00183,C00671925,S,J,"HELLER, DEAN",REP,NV,0,2018
S2NV00183,C00684548,S,J,"HELLER, DEAN",REP,NV,0,2018
S2NV00183,C00652081,N,J,"HELLER, DEAN",REP,NV,0,2018
S2NV00183,C00494229,S,P,"HELLER, DEAN",REP,NV,0,2018
S2NV00183,C00607812,N,J,"HELLER, DEAN",REP,NV,0,2018
S2NV00183,C00576801,Q,J,"HELLER, DEAN",REP,NV,0,2018
S2TX00312,C00676676,S,J,"CRUZ, RAFAEL EDWARD TED",REP,TX,0,2018
S2TX00312,C00542423,N,J,"CRUZ, RAFAEL EDWARD TED",REP,TX,0,2018
S2TX00312,C00492785,S,P,"CRUZ, RAFAEL EDWARD TED",REP,TX,0,2018
S2VA00142,C00648071,S,J,"KAINE, TIMOTHY MICHAEL",DEM,VA,0,2018
S2VA00142,C00648089,S,J,"KAINE, TIMOTHY MICHAEL",DEM,VA,0,2018
S2VA00142,C00662114,S,J,"KAINE, TIMOTHY MICHAEL",DEM,VA,0,2018
S2VA00142,C00648238,S,J,"KAINE, TIMOTHY MICHAEL",DEM,VA,0,2018
S2VA00142,C00495358,S,P,"KAINE, TIMOTHY MICHAEL",DEM,VA,0,2018
S2VA00142,C00631960,S,J,"KAINE, TIMOTHY MICHAEL",DEM,VA,0,2018
S2VA00142,C00572388,N,J,"KAINE, TIMOTHY MICHAEL",DEM,VA,0,2018
S2WI00219,C00655662,S,J,"BALDWIN, TAMMY",DEM,WI,0,2018
S2WI00219,C00657569,S,J,"BALDWIN, TAMMY",DEM,WI,0,2018
S2WI00219,C00648071,S,J,"BALDWIN, TAMMY",DEM,WI,0,2018
S2WI00219,C00662114,S,J,"BALDWIN, TAMMY",DEM,WI,0,2018
S2WI00219,C00631960,S,J,"BALDWIN, TAMMY",DEM,WI,0,2018
S2WI00219,C00636803,S,J,"BALDWIN, TAMMY",DEM,WI,0,2018
S2WI00219,C00666917,N,J,"BALDWIN, TAMMY",DEM,WI,0,2018
S2WI00219,C00637165,S,J,"BALDWIN, TAMMY",DEM,WI,0,2018
S2WI00219,C00326801,S,P,"BALDWIN, TAMMY",DEM,WI,0,2018
S2WI00219,C00674192,S,J,"BALDWIN, TAMMY",DEM,WI,0,2018
S2WI00219,C00685057,N,J,"BALDWIN, TAMMY",DEM,WI,0,2018
S2WI00219,C00633925,N,J,"BALDWIN, TAMMY",DEM,WI,0,2018
S2WI00219,C00630467,S,J,"BALDWIN, TAMMY",DEM,WI,0,2018
S2WI00219,C00672527,S,J,"BALDWIN, TAMMY",DEM,WI,0,2018
S2WI00219,C00634352,S,J,"BALDWIN, TAMMY",DEM,WI,0,2018
S2WI00219,C00662916,S,J,"BALDWIN, TAMMY",DEM,WI,0,2018
S2WI00219,C00633073,S,J,"BALDWIN, TAMMY",DEM,WI,0,2018
S2WI00219,C00525295,N,J,"BALDWIN, TAMMY",DEM,WI,0,2018
S2WI00219,C00680066,S,J,"BALDWIN, TAMMY",DEM,WI,0,2018
S2WI00219,C00633578,S,J,"BALDWIN, TAMMY",DEM,WI,0,2018
S4VT00033,C00411330,S,P,"SANDERS, BERNARD",IND,VT,0,2018
S6IL00292,C00621003,S,J,"DUCKWORTH, L TAMMY",DEM,IL,0,2018
S6IL00292,C00618512,N,J,"DUCKWORTH, L TAMMY",DEM,IL,0,2018
S6IL00292,C00582817,N,J,"DUCKWORTH, L TAMMY",DEM,IL,0,2018
S6IL00292,C00574889,S,P,"DUCKWORTH, L TAMMY",DEM,IL,0,2018
S6MD03177,C00411587,S,P,"CARDIN, BENJAMIN L",DEM,MD,0,2018
S6MN00267,C00431353,S,P,"KLOBUCHAR, AMY",DEM,MN,0,2018
S6MN00267,C00496539,N,J,"KLOBUCHAR, AMY",DEM,MN,0,2018
S6MN00267,C00653857,N,J,"KLOBUCHAR, AMY",DEM,MN,0,2018
S6MN00267,C00630806,S,J,"KLOBUCHAR, AMY",DEM,MN,0,2018
S6MN00267,C00672527,S,J,"KLOBUCHAR, AMY",DEM,MN,0,2018
S6MN00267,C00685057,N,J,"KLOBUCHAR, AMY",DEM,MN,0,2018
S6MN00267,C00655662,S,J,"KLOBUCHAR, AMY",DEM,MN,0,2018
S6MN00267,C00630467,S,J,"KLOBUCHAR, AMY",DEM,MN,0,2018
S6MN00267,C00653485,S,J,"KLOBUCHAR, AMY",DEM,MN,0,2018
S6MN00267,C00631705,S,J,"KLOBUCHAR, AMY",DEM,MN,0,2018
S6MN00267,C00634352,S,J,"KLOBUCHAR, AMY",DEM,MN,0,2018
S6MO00305,C00431304,S,P,"MCCASKILL, CLAIRE",DEM,MO,0,2018
S6MO00305,C00680066,S,J,"MCCASKILL, CLAIRE",DEM,MO,0,2018
S6MO00305,C00630616,S,J,"MCCASKILL, CLAIRE",DEM,MO,0,2018
S6MO00305,C00663153,S,J,"MCCASKILL, CLAIRE",DEM,MO,0,2018
S6MO00305,C00685057,N,J,"MCCASKILL, CLAIRE",DEM,MO,0,2018
S6MO00305,C00667501,S,J,"MCCASKILL, CLAIRE",DEM,MO,0,2018
S6MO00305,C00662114,S,J,"MCCASKILL, CLAIRE",DEM,MO,0,2018
S6MO00305,C00655670,S,J,"MCCASKILL, CLAIRE",DEM,MO,0,2018
S6MO00305,C00674192,S,J,"MCCASKILL, CLAIRE",DEM,MO,0,2018
S6MO00305,C00667337,N,J,"MCCASKILL, CLAIRE",DEM,MO,0,2018
S6MO00305,C00633925,N,J,"MCCASKILL, CLAIRE",DEM,MO,0,2018
S6MO00305,C00635300,S,J,"MCCASKILL, CLAIRE",DEM,MO,0,2018
S6MO00305,C00630467,S,J,"MCCASKILL, CLAIRE",DEM,MO,0,2018
S6MO00305,C00648238,S,J,"MCCASKILL, CLAIRE",DEM,MO,0,2018
S6MO00305,C00641084,N,J,"MCCASKILL, CLAIRE",DEM,MO,0,2018
S6MO00305,C00639203,S,J,"MCCASKILL, CLAIRE",DEM,MO,0,2018
S6MO00305,C00577148,N,J,"MCCASKILL, CLAIRE",DEM,MO,0,2018
S6MO00305,C00682591,S,J,"MCCASKILL, CLAIRE",DEM,MO,0,2018
S6MT00162,C00412304,S,P,"TESTER, JON",DEM,MT,0,2018
S6MT00162,C00667493,S,J,"TESTER, JON",DEM,MT,0,2018
S6MT00162,C00547679,N,J,"TESTER, JON",DEM,MT,0,2018
S6MT00162,C00634360,S,J,"TESTER, JON",DEM,MT,0,2018
S6MT00162,C00666032,S,J,"TESTER, JON",DEM,MT,0,2018
S6MT00162,C00660357,S,J,"TESTER, JON",DEM,MT,0,2018
S6MT00162,C00638296,S,J,"TESTER, JON",DEM,MT,0,2018
S6MT00162,C00679340,S,J,"TESTER, JON",DEM,MT,0,2018
S6MT00162,C00633925,N,J,"TESTER, JON",DEM,MT,0,2018
S6MT00162,C00676817,S,J,"TESTER, JON",DEM,MT,0,2018
S6MT00162,C00667501,S,J,"TESTER, JON",DEM,MT,0,2018
S6MT00162,C00637165,S,J,"TESTER, JON",DEM,MT,0,2018
S6NJ00289,C00479501,N,J,"MENENDEZ, ROBERT",DEM,NJ,0,2018
S6NJ00289,C00631960,S,J,"MENENDEZ, ROBERT",DEM,NJ,0,2018
S6NJ00289,C00264564,S,P,"MENENDEZ, ROBERT",DEM,NJ,0,2018
S6OH00163,C00578609,N,J,"BROWN, SHERROD",DEM,OH,0,2018
S6OH00163,C00653485,S,J,"BROWN, SHERROD",DEM,OH,0,2018
S6OH00163,C00655670,S,J,"BROWN, SHERROD",DEM,OH,0,2018
S6OH00163,C00655688,S,J,"BROWN, SHERROD",DEM,OH,0,2018
S6OH00163,C00648089,S,J,"BROWN, SHERROD",DEM,OH,0,2018
S6OH00163,C00631960,S,J,"BROWN, SHERROD",DEM,OH,0,2018
S6OH00163,C00678094,S,J,"BROWN, SHERROD",DEM,OH,0,2018
S6OH00163,C00635987,Y,J,"BROWN, SHERROD",DEM,OH,0,2018
S6OH00163,C00544296,S,J,"BROWN, SHERROD",DEM,OH,0,2018
S6OH00163,C00264697,S,P,"BROWN, SHERROD",DEM,OH,0,2018
S6OH00163,C00555342,N,J,"BROWN, SHERROD",DEM,OH,0,2018
S6PA00217,C00545830,N,J,"CASEY, ROBERT P JR",DEM,PA,0,2018
S6PA00217,C00431056,S,P,"CASEY, ROBERT P JR",DEM,PA,0,2018
S6PA00217,C00682260,N,J,"CASEY, ROBERT P JR",DEM,PA,0,2018
S6PA00217,C00544296,S,J,"CASEY, ROBERT P JR",DEM,PA,0,2018
S6PA00217,C00637165,S,J,"CASEY, ROBERT P JR",DEM,PA,0,2018
S6PA00217,C00631960,S,J,"CASEY, ROBERT P JR",DEM,PA,0,2018
S6PA00217,C00655670,S,J,"CASEY, ROBERT P JR",DEM,PA,0,2018
S6PA00217,C00633925,N,J,"CASEY, ROBERT P JR",DEM,PA,0,2018
S6PA00217,C00653485,S,J,"CASEY, ROBERT P JR",DEM,PA,0,2018
S6RI00221,C00630806,S,J,"WHITEHOUSE, SHELDON II",DEM,RI,0,2018
S6RI00221,C00410803,S,P,"WHITEHOUSE, SHELDON II",DEM,RI,0,2018
S6RI00221,C00631705,S,J,"WHITEHOUSE, SHELDON II",DEM,RI,0,2018
S6TN00216,C00430462,S,P,"CORKER, ROBERT P JR",REP,TN,0,2018
S6TN00216,C00637181,S,J,"CORKER, ROBERT P JR",REP,TN,0,2018
S6UT00063,C00104752,S,P,"HATCH, ORRIN G",REP,UT,0,2018
S6UT00063,C00542886,N,J,"HATCH, ORRIN G",REP,UT,0,2018
S6WY00068,C00637181,S,J,"BARRASSO, JOHN A",REP,WY,0,2018
S6WY00068,C00436386,S,P,"BARRASSO, JOHN A",REP,WY,0,2018
S6WY00068,C00544114,N,J,"BARRASSO, JOHN A",REP,WY,0,2018
S6WY00068,C00576801,Q,J,"BARRASSO, JOHN A",REP,WY,0,2018
S8AL00308,C00629451,S,P,"STRANGE, LUTHER J III",REP,AL,0,2018
S8AL00308,C00629451,S,P,"STRANGE, LUTHER J III",REP,AL,0,2018
S8DE00079,C00673061,S,J,"CARPER, THOMAS R",DEM,DE,0,2018
S8FL00166,C00667501,S,J,"NELSON, BILL",DEM,FL,0,2018
S8FL00166,C00631705,S,J,"NELSON, BILL",DEM,FL,0,2018
S8FL00166,C00637165,S,J,"NELSON, BILL",DEM,FL,0,2018
S8FL00166,C00655670,S,J,"NELSON, BILL",DEM,FL,0,2018
S8FL00166,C00665265,S,J,"NELSON, BILL",DEM,FL,0,2018
S8FL00166,C00631960,S,J,"NELSON, BILL",DEM,FL,0,2018
S8FL00166,C00663153,S,J,"NELSON, BILL",DEM,FL,0,2018
S8FL00166,C00344051,S,P,"NELSON, BILL",DEM,FL,0,2018
S8FL00166,C00631796,N,J,"NELSON, BILL",DEM,FL,0,2018
S8FL00166,C00660639,S,J,"NELSON, BILL",DEM,FL,0,2018
S8FL00166,C00633925,N,J,"NELSON, BILL",DEM,FL,0,2018
S8FL00166,C00668814,S,J,"NELSON, BILL",DEM,FL,0,2018
S8MI00281,C00630467,S,J,"STABENOW, DEBBIE",DEM,MI,0,2018
S8MI00281,C00677468,S,J,"STABENOW, DEBBIE",DEM,MI,0,2018
S8MI00281,C00685057,N,J,"STABENOW, DEBBIE",DEM,MI,0,2018
S8MI00281,C00678094,S,J,"STABENOW, DEBBIE",DEM,MI,0,2018
S8MI00281,C00636803,S,J,"STABENOW, DEBBIE",DEM,MI,0,2018
S8MI00281,C00344473,S,P,"STABENOW, DEBBIE",DEM,MI,0,2018
S8MI00281,C00636191,N,J,"STABENOW, DEBBIE",DEM,MI,0,2018
S8MI00281,C00495580,N,J,"STABENOW, DEBBIE",DEM,MI,0,2018
S8MI00281,C00634352,S,J,"STABENOW, DEBBIE",DEM,MI,0,2018
S8MI00281,C00631960,S,J,"STABENOW, DEBBIE",DEM,MI,0,2018
S8MI00281,C00639203,S,J,"STABENOW, DEBBIE",DEM,MI,0,2018
S8MI00281,C00637173,S,J,"STABENOW, DEBBIE",DEM,MI,0,2018
S8MN00578,C00685057,N,J,"SMITH, TINA FLINT",DEM,MN,0,2018
S8MN00578,C00663781,S,P,"SMITH, TINA FLINT",DEM,MN,0,2018
S8MN00578,C00672840,N,J,"SMITH, TINA FLINT",DEM,MN,0,2018
S8MN00578,C00677450,S,J,"SMITH, TINA FLINT",DEM,MN,0,2018
S8MN00578,C00677468,S,J,"SMITH, TINA FLINT",DEM,MN,0,2018
S8MN00578,C00633925,N,J,"SMITH, TINA FLINT",DEM,MN,0,2018
S8MN00578,C00681460,S,J,"SMITH, TINA FLINT",DEM,MN,0,2018
S8MS00196,C00572099,N,J,"WICKER, ROGER F",REP,MS,0,2018
S8MS00196,C00671925,S,J,"WICKER, ROGER F",REP,MS,0,2018
S8MS00196,C00443218,S,P,"WICKER, ROGER F",REP,MS,0,2018
S8WA00194,C00667220,S,J,"CANTWELL, MARIA",DEM,WA,0,2018
S8WA00194,C00349506,S,P,"CANTWELL, MARIA",DEM,WA,0,2018
S8WA00194,C00672840,N,J,"CANTWELL, MARIA",DEM,WA,0,2018
S8WA00194,C00672857,N,J,"CANTWELL, MARIA",DEM,WA,0,2018
S8WA00194,C00679217,S,J,"CANTWELL, MARIA",DEM,WA,0,2018
S8WA00194,C00631960,S,J,"CANTWELL, MARIA",DEM,WA,0,2018
S8WA00194,C00654251,S,J,"CANTWELL, MARIA",DEM,WA,0,2018
S8WA00194,C00685057,N,J,"CANTWELL, MARIA",DEM,WA,0,2018
